candidate_id	event_id	field	reason_codes
hced-Aghdash Awkh1831-1	hced_wave8_dagestan_hced_aghdash_awkh1831_1	geometry	reviewed_battle_location_mismatch
hced-Aghdash Awkh1831-1	hced_wave8_dagestan_hced_aghdash_awkh1831_1	modern_location_country	reviewed_jurisdiction_mismatch
hced-Akhulgo1839-1	hced_wave8_dagestan_hced_akhulgo1839_1	geometry	reviewed_battle_location_mismatch
hced-Aleutians1942-1	hced_hced_aleutians1942_1	geometry	country_distribution_outlier_pending_human_review
hced-Aleutians1942-1	hced_hced_aleutians1942_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Ap Bac1963-1	hced_label_hced_ap_bac1963_1	geometry	country_distribution_outlier_pending_human_review
hced-Ap Bac1963-1	hced_label_hced_ap_bac1963_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Atlantic1915-1917-1	hced_hced_atlantic1915_1917_1	modern_location_country	modern_country_vocabulary_non_country_geography
hced-Atlantic1939-1945-1	hced_hced_atlantic1939_1945_1	modern_location_country	modern_country_vocabulary_non_country_geography
hced-Attu1943-1	hced_hced_attu1943_1	geometry	country_distribution_outlier_pending_human_review
hced-Attu1943-1	hced_hced_attu1943_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Augusta, Sicily1676-1	hced_hced_augusta_sicily1676_1	modern_location_country	modern_country_vocabulary_non_country_geography
hced-Bagh Dera1788-1	hced_label_hced_bagh_dera1788_1	geometry	homonym_geocode_collision
hced-Bagh Dera1788-1	hced_label_hced_bagh_dera1788_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-Bagh1919-1	hced_label_hced_bagh1919_1	geometry	homonym_geocode_collision
hced-Bagh1919-1	hced_label_hced_bagh1919_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-Balkans1941-1	hced_hced_balkans1941_1	geometry	broad_campaign_centroid_proxy
hced-Balkans1941-1	hced_hced_balkans1941_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-Balkans1944-1	hced_hced_balkans1944_1	geometry	broad_campaign_centroid_proxy
hced-Balkans1944-1	hced_hced_balkans1944_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-Belfast1900-1	hced_label_hced_belfast1900_1	geometry	country_distribution_outlier_pending_human_review
hced-Belfast1900-1	hced_label_hced_belfast1900_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Belfast1901-1	hced_label_hced_belfast1901_1	geometry	country_distribution_outlier_pending_human_review
hced-Belfast1901-1	hced_label_hced_belfast1901_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Burtinah1839-1	hced_wave8_dagestan_hced_burtinah1839_1	geometry	reviewed_battle_location_mismatch
hced-Burtinah1839-1	hced_wave8_dagestan_hced_burtinah1839_1	modern_location_country	reviewed_jurisdiction_mismatch
hced-Bismarck1941-1	hced_hced_bismarck1941_1	modern_location_country	modern_country_vocabulary_non_country_geography
hced-Cape Engano1944-1	hced_hced_cape_engano1944_1	modern_location_country	modern_country_vocabulary_malformed_typo
hced-Cape St Vincent1797-1	hced_hced_cape_st_vincent1797_1	geometry	country_distribution_outlier_pending_human_review
hced-Cape St Vincent1797-1	hced_hced_cape_st_vincent1797_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Chieveley1899-1	hced_label_hced_chieveley1899_1	modern_location_country	modern_country_vocabulary_malformed_typo
hced-Crazy Woman Creek1876-1	hced_wave8_algiers_cheyenne_hced_crazy_woman_creek1876_1	geometry	reviewed_battle_location_mismatch
hced-Crooked Creek1859-1	hced_wave8_comanche_hced_crooked_creek1859_1	geometry	reviewed_battle_location_mismatch
hced-Czernowitz1914-1	hced_hced_czernowitz1914_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-Czernowitz1916-1	hced_hced_czernowitz1916_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-Dogger Bank1781-1	hced_label_hced_dogger_bank1781_1	modern_location_country	modern_country_vocabulary_non_country_geography
hced-Dogger Bank1915-1	hced_hced_dogger_bank1915_1	modern_location_country	modern_country_vocabulary_non_country_geography
hced-Empress Augusta Bay1943-1	hced_hced_empress_augusta_bay1943_1	geometry	country_distribution_outlier_pending_human_review
hced-Empress Augusta Bay1943-1	hced_hced_empress_augusta_bay1943_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Es Salt (1st)1918-1	hced_hced_es_salt_1st_1918_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-Es Salt (2nd)1918-1	hced_hced_es_salt_2nd_1918_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-Focchies1649-1	hced_label_hced_focchies1649_1	geometry	likely_latitude_longitude_swap
hced-Fort Erie (2nd)1814-1	hced_hced_fort_erie_2nd_1814_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-Fort Erie1812-1	hced_hced_fort_erie1812_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-Fort Erie1814-1	hced_hced_fort_erie1814_1	modern_location_country	duplicate_coordinate_contradictory_country
hced-Freeman's Farm1776-1	hced_hced_freeman_s_farm1776_1	geometry	country_distribution_outlier_pending_human_review
hced-Freeman's Farm1776-1	hced_hced_freeman_s_farm1776_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Gilbert Islands1943-1	hced_hced_gilbert_islands1943_1	geometry	country_distribution_outlier_pending_human_review
hced-Gilbert Islands1943-1	hced_hced_gilbert_islands1943_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Girgil1847-1	hced_wave8_dagestan_hced_girgil1847_1	geometry	reviewed_battle_location_mismatch
hced-Glowworm1940-1	hced_hced_glowworm1940_1	modern_location_country	modern_country_vocabulary_non_country_geography
hced-Groenkloof1901-1	hced_wave8_fast17_hced_groenkloof1901_1	geometry	wrong_same_name_coordinate_reviewed_source
hced-Gumburu1903-1	hced_wave8_somali_irish_sa_hced_gumburu1903_1	geometry	reviewed_battle_location_mismatch
hced-Gumburu1903-1	hced_wave8_somali_irish_sa_hced_gumburu1903_1	modern_location_country	reviewed_modern_jurisdiction_unresolved
hced-Han, Korea1950-1	hced_label_hced_han_korea1950_1	modern_location_country	modern_country_vocabulary_historical_or_ambiguous
hced-Hansan1592-1	hced_label_hced_hansan1592_1	modern_location_country	modern_country_vocabulary_historical_or_ambiguous
hced-Helvetia1900-1	hced_label_hced_helvetia1900_1	modern_location_country	modern_country_vocabulary_malformed_typo
hced-Huj1917-1	hced_hced_huj1917_1	modern_location_country	modern_country_vocabulary_malformed_typo
hced-Huon Peninsula1943-1	hced_hced_huon_peninsula1943_1	geometry	country_distribution_outlier_pending_human_review
hced-Huon Peninsula1943-1	hced_hced_huon_peninsula1943_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Illig1904-1	hced_wave8_somali_irish_sa_hced_illig1904_1	modern_location_country	reviewed_modern_jurisdiction_mismatch
hced-Issus-333-1	hced_label_hced_issus_333_1	geometry	uncertain_battle_site_and_coordinate_mismatch
hced-Iwo Jima1945-1	hced_hced_iwo_jima1945_1	geometry	country_distribution_outlier_pending_human_review
hced-Iwo Jima1945-1	hced_hced_iwo_jima1945_1	modern_location_country	country_distribution_outlier_pending_human_review
hced-Java Sea1941-1942-1	hced_hced_java_sea1941_1942_1	modern_location_country	modern_country_vocabulary_non_country_geography
